symbol	meaning	description	human_family	human_family_title	catalog_group	path
NZDUSD	New Zealand Dollar vs US Dollar	New Zealand Dollar vs US Dollar	forex	FX	forex	Forex Major\Forex Minor\NZDUSD
NZDUSD+	New Zealand Dollar vs US Dollar	New Zealand Dollar vs US Dollar	forex	FX	forex	Forex+\Forex Minor\Forex Minor -Forex\NZDUSD+
SGDJPY+	Singapore Dollar vs Japanese Yen	Singapore Dollar vs Japanese Yen	forex	FX	indices	Forex+\Forex Minor\Forex Minor -Forex\SGDJPY+
USDBRL	US Dollar vs Brazilian	US Dollar vs Brazilian	forex	FX	forex	Forex Major\Forex Exotic2\USDBRL
USDBRL+	US Dollar vs Brazilian	US Dollar vs Brazilian	forex	FX	forex	Forex+\Forex Minor\Forex Minor -CFD\USDBRL+
USDCAD	US Dollar vs Canadian Dollar	US Dollar vs Canadian Dollar	forex	FX	forex	Forex Major\Forex Major\USDCAD
USDCAD+	US Dollar vs Canadian Dollar	US Dollar vs Canadian Dollar	forex	FX	forex	Forex+\Forex Major\USDCAD+
USDCHF	US Dollar vs Swiss Franc	US Dollar vs Swiss Franc	forex	FX	forex	Forex Major\Forex Major\USDCHF
USDCHF+	US Dollar vs Swiss Franc	US Dollar vs Swiss Franc	forex	FX	forex	Forex+\Forex Major\USDCHF+
USDCLP	US Dollar vs Chile Peso	US Dollar vs Chile Peso	forex	FX	forex	Forex Major\Forex Major\USDCLP
USDCLP+	US Dollar vs Chile Peso	US Dollar vs Chile Peso	forex	FX	forex	Forex+\Forex Minor\Forex Minor -CFD\USDCLP+
USDCNH+	US Dollar vs Chinese Yuan	US Dollar vs Chinese Yuan	forex	FX	forex	Forex+\Forex Minor\Forex Minor -Forex\USDCNH+
USDCOP	US Dollar vs Colombia Peso	US Dollar vs Colombia Peso	forex	FX	forex	Forex Major\Forex Major\USDCOP
USDCOP+	US Dollar vs Colombia Peso	US Dollar vs Colombia Peso	forex	FX	forex	Forex+\Forex Minor\Forex Minor -CFD\USDCOP+
USDCZK	US Dollar vs Czech Koruna	US Dollar vs Czech Koruna	forex	FX	forex	Forex Major\Forex Exotic2\USDCZK
USDCZK+	US Dollar vs Czech Koruna	US Dollar vs Czech Koruna	forex	FX	forex	Forex+\Forex Minor\Forex Minor -CFD\USDCZK+
USDDKK+	US Dollar vs Danish Krone	US Dollar vs Danish Krone	forex	FX	forex	Forex+\Forex Minor\Forex Minor -CFD\USDDKK+
USDHKD	US Dollar vs Hong Kong Dollar	US Dollar vs Hong Kong Dollar	forex	FX	forex	Forex Major\Forex Minor\USDHKD
USDHUF+	US Dollar vs Hungarian Forint	US Dollar vs Hungarian Forint	forex	FX	forex	Forex+\Forex Minor\Forex Minor -CFD\USDHUF+
USDIDR	US Dollar vs Indonesian Rupiah	US Dollar vs Indonesian Rupiah	forex	FX	forex	Forex Major\Forex Major\USDIDR
