symbol	meaning	description	human_family	human_family_title	catalog_group	path
JPM	JPMORGAN CHASE & CO	JPMORGAN CHASE & CO	stocks	US Stocks	stocks	Stocks\US\JPM
KO	COCA-COLA CO/THE	COCA-COLA CO/THE	stocks	US Stocks	stocks	Stocks\US\KO
LAC	Lithium Americas Corp	Lithium Americas Corp	stocks	US Stocks	stocks	Stocks\US\LAC
LAUR	Laureate Education Inc	Laureate Education Inc	stocks	US Stocks	stocks	Stocks\US\LAUR
LBTYK	Liberty Global Ltd. Class C	Liberty Global Ltd. Class C	stocks	US Stocks	stocks	Stocks\US\LBTYK
LI	LI AUTO INC - ADR	LI AUTO INC - ADR	stocks	US Stocks	stocks	Stocks\US\LI
LITE	Lumentum Holdings Inc	Lumentum Holdings Inc	stocks	US Stocks	stocks	Stocks\US\LITE
LLY	Eli Lilly & Co	Eli Lilly & Co	stocks	US Stocks	stocks	Stocks\US\LLY
LMT	Lockheed Martin Corp	Lockheed Martin Corp	stocks	US Stocks	stocks	Stocks\US\LMT
LPL	LG Display Co Ltd (ADRs)	LG Display Co Ltd (ADRs)	stocks	US Stocks	stocks	Stocks\US\LPL
LRCX	Lam Research Corp	Lam Research Corp	stocks	US Stocks	stocks	Stocks\US\LRCX
LULU	LULULEMON ATHLETICA INC	LULULEMON ATHLETICA INC	stocks	US Stocks	stocks	Stocks\US\LULU
LYB	LyondellBasell Industries - Class A	LyondellBasell Industries - Class A	stocks	US Stocks	stocks	Stocks\US\LYB
LYFT	Lyft Inc	Lyft Inc	stocks	US Stocks	stocks	Stocks\US\LYFT
MA	MASTERCARD INC - A	MASTERCARD INC - A	stocks	US Stocks	stocks	Stocks\US\MA
MARA	Marathon Digital Holdings, Inc	Marathon Digital Holdings, Inc	stocks	US Stocks	stocks	Stocks\US\MARA
MAT	Mattel Inc	Mattel Inc	stocks	US Stocks	stocks	Stocks\US\MAT
MCD	MCDONALD'S CORP	MCDONALD'S CORP	stocks	US Stocks	stocks	Stocks\US\MCD
MCK	Mckesson Corp	Mckesson Corp	stocks	US Stocks	stocks	Stocks\US\MCK
MELI	Mercado Libre	Mercado Libre	stocks	US Stocks	stocks	Stocks\US\MELI
MET	Metlife Inc	Metlife Inc	stocks	US Stocks	stocks	Stocks\US\MET
META	Meta Platforms Inc	Meta Platforms Inc	stocks	US Stocks	stocks	Stocks\US\META
MFA	MFA Financial Inc	MFA Financial Inc	stocks	US Stocks	stocks	Stocks\US\MFA
MMM	3M CO	3M CO	stocks	US Stocks	stocks	Stocks\US\MMM
MOH	Molina Healthcare Inc	Molina Healthcare Inc	stocks	US Stocks	stocks	Stocks\US\MOH
MPLX	MPLX LP	MPLX LP	stocks	US Stocks	stocks	Stocks\US\MPLX
MRK	Merck & Co Inc	Merck & Co Inc	stocks	US Stocks	stocks	Stocks\US\MRK
MRNA	MODERNA INC	MODERNA INC	stocks	US Stocks	stocks	Stocks\US\MRNA
MRVL	Marvell Technology Group Ltd	Marvell Technology Group Ltd	stocks	US Stocks	stocks	Stocks\US\MRVL
MS	Morgan Stanley	Morgan Stanley	stocks	US Stocks	stocks	Stocks\US\MS
MSFT	MICROSOFT CORP	MICROSOFT CORP	stocks	US Stocks	stocks	Stocks\US\MSFT
MSTR	Strategy Inc.	Strategy Inc.	stocks	US Stocks	stocks	Stocks\US\MSTR
MU	Micron Technology Inc	Micron Technology Inc	stocks	US Stocks	stocks	Stocks\US\MU
NEM	Newmont Mining	Newmont Mining	stocks	US Stocks	stocks	Stocks\US\NEM
NFLX	NETFLIX INC	NETFLIX INC	stocks	US Stocks	stocks	Stocks\US\NFLX
NIO	NIO INC - ADR	NIO INC - ADR	stocks	US Stocks	stocks	Stocks\US\NIO
NKE	Nike Inc	Nike Inc	stocks	US Stocks	stocks	Stocks\US\NKE
NOC	Northrop Grumman Corp	Northrop Grumman Corp	stocks	US Stocks	stocks	Stocks\US\NOC
NOW	ServiceNow Inc	ServiceNow Inc	stocks	US Stocks	stocks	Stocks\US\NOW
NTAP	Netapp Inc	Netapp Inc	stocks	US Stocks	stocks	Stocks\US\NTAP
NTES	NETEASE INC-ADR	NETEASE INC-ADR	stocks	US Stocks	stocks	Stocks\US\NTES
NVIDIA	NVIDIA CORP	NVIDIA CORP	stocks	US Stocks	stocks	Stocks\US\NVIDIA
NVS	NOVARTIS AG-SPONSORED ADR	NOVARTIS AG-SPONSORED ADR	stocks	US Stocks	stocks	Stocks\US\NVS
NWS	News Corp - Class B	News Corp - Class B	stocks	US Stocks	stocks	Stocks\US\NWS
OKLO	Oklo Inc	Oklo Inc	stocks	US Stocks	stocks	Stocks\US\OKLO
OKTA	Okta Inc	Okta Inc	stocks	US Stocks	stocks	Stocks\US\OKTA
ORCL	ORACLE CORP	ORACLE CORP	stocks	US Stocks	stocks	Stocks\US\ORCL
OXY	Occidental Petroleum Corp	Occidental Petroleum Corp	stocks	US Stocks	stocks	Stocks\US\OXY
PDD	Pinduoduo Inc (ADRs)	Pinduoduo Inc (ADRs)	stocks	US Stocks	stocks	Stocks\US\PDD
PEG	Public Service Enterprise Group / PSEG	Public Service Enterprise Group / PSEG	stocks	US Stocks	stocks	Stocks\US\PEG
PENN	Penn National Gaming Inc	Penn National Gaming Inc	stocks	US Stocks	stocks	Stocks\US\PENN
PEP	PEPSICO INC	PEPSICO INC	stocks	US Stocks	stocks	Stocks\US\PEP
PFIZER	PFIZER INC	PFIZER INC	stocks	US Stocks	stocks	Stocks\US\PFIZER
PG	PROCTER & GAMBLE CO/THE	PROCTER & GAMBLE CO/THE	stocks	US Stocks	stocks	Stocks\US\PG
PGR	Progressive Corp	Progressive Corp	stocks	US Stocks	stocks	Stocks\US\PGR
PLAY	Dave & Buster's Entertainmen	Dave & Buster's Entertainmen	stocks	US Stocks	stocks	Stocks\US\PLAY
PLTR	Palantir Technologies Inc	Palantir Technologies Inc	stocks	US Stocks	stocks	Stocks\US\PLTR
PM	PHILIP MORRIS INTERNATIONAL	PHILIP MORRIS INTERNATIONAL	stocks	US Stocks	stocks	Stocks\US\PM
POOL	Pool Corp	Pool Corp	stocks	US Stocks	stocks	Stocks\US\POOL
PPL	PPL Corp	PPL Corp	stocks	US Stocks	stocks	Stocks\US\PPL
PSIX	Power Solutions International Inc	Power Solutions International Inc	stocks	US Stocks	crypto	Stocks\US\PSIX
PVH	PVH Corp	PVH Corp	stocks	US Stocks	stocks	Stocks\US\PVH
PYPL	PayPal Holdings Inc	PayPal Holdings Inc	stocks	US Stocks	stocks	Stocks\US\PYPL
QCOM	QUALCOMM Inc	QUALCOMM Inc	stocks	US Stocks	stocks	Stocks\US\QCOM
QQQ	Invesco QQQ Trust Series 1 ETF	Invesco QQQ Trust Series 1 ETF	stocks	US Stocks	stocks	Stocks\US\QQQ
RACE	Ferrari NV	Ferrari NV	stocks	US Stocks	stocks	Stocks\US\RACE
RBLX	Roblox Corp - Class A	Roblox Corp - Class A	stocks	US Stocks	stocks	Stocks\US\RBLX
REGN	Regeneron Pharmaceuticals	Regeneron Pharmaceuticals	stocks	US Stocks	stocks	Stocks\US\REGN
RF	Regions Financial Corp	Regions Financial Corp	stocks	US Stocks	stocks	Stocks\US\RF
RIOT	Riot Platforms, Inc	Riot Platforms, Inc	stocks	US Stocks	stocks	Stocks\US\RIOT
RIVN	Rivian Automotive Inc	Rivian Automotive Inc	stocks	US Stocks	stocks	Stocks\US\RIVN
RKLB	Rocket Lab Corp	Rocket Lab Corp	stocks	US Stocks	stocks	Stocks\US\RKLB
ROKU	Roku Inc	Roku Inc	stocks	US Stocks	stocks	Stocks\US\ROKU
ROST	Ross Stores Inc	Ross Stores Inc	stocks	US Stocks	stocks	Stocks\US\ROST
RSG	Republic Services Inc	Republic Services Inc	stocks	US Stocks	stocks	Stocks\US\RSG
SBET	SharpLink Gaming Inc	SharpLink Gaming Inc	stocks	US Stocks	stocks	Stocks\US\SBET
SBUX	STARBUCKS CORP	STARBUCKS CORP	stocks	US Stocks	stocks	Stocks\US\SBUX
SE	SEA LTD-ADR	SEA LTD-ADR	stocks	US Stocks	stocks	Stocks\US\SE
SHOP	SHOPIFY INC - CLASS A	SHOPIFY INC - CLASS A	stocks	US Stocks	stocks	Stocks\US\SHOP
SIG	Signet Jewelers Ltd	Signet Jewelers Ltd	stocks	US Stocks	stocks	Stocks\US\SIG
SMG	ScottsMiracle-Gro Co	ScottsMiracle-Gro Co	stocks	US Stocks	stocks	Stocks\US\SMG
SNAP	Snap Inc	Snap Inc	stocks	US Stocks	stocks	Stocks\US\SNAP
SNOW	SNOWFLAKE INC-CLASS A	SNOWFLAKE INC-CLASS A	stocks	US Stocks	stocks	Stocks\US\SNOW
SNPS	Synopsys Inc	Synopsys Inc	stocks	US Stocks	stocks	Stocks\US\SNPS
SOFI	SoFi Technologies Inc	SoFi Technologies Inc	stocks	US Stocks	stocks	Stocks\US\SOFI
SPCE	VIRGIN GALACTIC HOLDINGS INC	VIRGIN GALACTIC HOLDINGS INC	stocks	US Stocks	stocks	Stocks\US\SPCE
SPG	Simon Property Group Inc	Simon Property Group Inc	stocks	US Stocks	stocks	Stocks\US\SPG
SPGI	S&P Global Inc	S&P Global Inc	stocks	US Stocks	stocks	Stocks\US\SPGI
SPOT	Spotify Technology SA	Spotify Technology SA	stocks	US Stocks	stocks	Stocks\US\SPOT
SRE	Sempra Energy	Sempra Energy	stocks	US Stocks	stocks	Stocks\US\SRE
STRL	Sterling Infrastructure Inc	Sterling Infrastructure Inc	stocks	US Stocks	stocks	Stocks\US\STRL
STX	Seagate	Seagate	stocks	US Stocks	stocks	Stocks\US\STX
STZ	Constellation Brands Inc - Class A	Constellation Brands Inc - Class A	stocks	US Stocks	stocks	Stocks\US\STZ
SWK	Stanley Black & Decker Inc	Stanley Black & Decker Inc	stocks	US Stocks	stocks	Stocks\US\SWK
TCOM	Trip.com Group Ltd	Trip.com Group Ltd	stocks	US Stocks	stocks	Stocks\US\TCOM
TEAM	Atlassian Corp PLC - Class A	Atlassian Corp PLC - Class A	stocks	US Stocks	stocks	Stocks\US\TEAM
TFC	Truist Financial Corp	Truist Financial Corp	stocks	US Stocks	stocks	Stocks\US\TFC
TGT	Target Corp	Target Corp	stocks	US Stocks	stocks	Stocks\US\TGT
TLN	Talen Energy Corp	Talen Energy Corp	stocks	US Stocks	stocks	Stocks\US\TLN
TME	Tencent Music Entertainment Group – ADR	Tencent Music Entertainment Group – ADR	stocks	US Stocks	stocks	Stocks\US\TME
TOYOTA	TOYOTA MOTOR CORP -SPON ADR	TOYOTA MOTOR CORP -SPON ADR	stocks	US Stocks	stocks	Stocks\US\TOYOTA
TQQQ	ProShares UltraPro QQQ ETF	ProShares UltraPro QQQ ETF	stocks	US Stocks	stocks	Stocks\US\TQQQ
TRMB	TRIMBLE INC	TRIMBLE INC	stocks	US Stocks	stocks	Stocks\US\TRMB
TROW	T. Rowe Price Group Inc	T. Rowe Price Group Inc	stocks	US Stocks	stocks	Stocks\US\TROW
TRV	The Travelers Companies Inc	The Travelers Companies Inc	stocks	US Stocks	stocks	Stocks\US\TRV
TSLA	Tesla	Tesla	stocks	US Stocks	stocks	Stocks\US\TSLA
TSM	TAIWAN SEMICONDUCTOR-SP ADR	TAIWAN SEMICONDUCTOR-SP ADR	stocks	US Stocks	stocks	Stocks\US\TSM
TTD	The Trade Desk Inc - Class A	The Trade Desk Inc - Class A	stocks	US Stocks	stocks	Stocks\US\TTD
TTWO	Take-Two Interactive SoftwareInc	Take-Two Interactive SoftwareInc	stocks	US Stocks	stocks	Stocks\US\TTWO
TWLO	Twilio Inc - Class A	Twilio Inc - Class A	stocks	US Stocks	stocks	Stocks\US\TWLO
TXN	Texas Instruments Inc	Texas Instruments Inc	stocks	US Stocks	stocks	Stocks\US\TXN
U	UNITY SOFTWARE INC	UNITY SOFTWARE INC	stocks	US Stocks	stocks	Stocks\US\U
UBER	Uber Technologies Inc	Uber Technologies Inc	stocks	US Stocks	stocks	Stocks\US\UBER
UL	Unilever Plc	Unilever Plc	stocks	US Stocks	stocks	Stocks\US\UL
ULTA	Ulta Beauty Inc	Ulta Beauty Inc	stocks	US Stocks	stocks	Stocks\US\ULTA
UMC	United Microelectronics Corp (ADRs)	United Microelectronics Corp (ADRs)	stocks	US Stocks	stocks	Stocks\US\UMC
UNH	UNITEDHEALTH GROUP INC	UNITEDHEALTH GROUP INC	stocks	US Stocks	stocks	Stocks\US\UNH
UPS	United Parcel Service Inc	United Parcel Service Inc	stocks	US Stocks	stocks	Stocks\US\UPS
UPST	Upstart Holdings Inc	Upstart Holdings Inc	stocks	US Stocks	stocks	Stocks\US\UPST
URNM	Sprott Uranium Miners ETF	Sprott Uranium Miners ETF	stocks	US Stocks	stocks	Stocks\US\URNM
USB	U.S. Bancorp	U.S. Bancorp	stocks	US Stocks	stocks	Stocks\US\USB
VISA	VISA INC-CLASS A SHARES	VISA INC-CLASS A SHARES	stocks	US Stocks	stocks	Stocks\US\VISA
VRT	Vertiv Holdings Co	Vertiv Holdings Co	stocks	US Stocks	stocks	Stocks\US\VRT
VZ	VERIZON COMMUNICATIONS INC	VERIZON COMMUNICATIONS INC	stocks	US Stocks	stocks	Stocks\US\VZ
WDAY	Workday Inc - Class A	Workday Inc - Class A	stocks	US Stocks	stocks	Stocks\US\WDAY
WDC	Western Digital Corp	Western Digital Corp	stocks	US Stocks	stocks	Stocks\US\WDC
WEN	Wendy's Co	Wendy's Co	stocks	US Stocks	stocks	Stocks\US\WEN
WFC	WELLS FARGO & CO	WELLS FARGO & CO	stocks	US Stocks	stocks	Stocks\US\WFC
WM	Waste Management Inc	Waste Management Inc	stocks	US Stocks	stocks	Stocks\US\WM
WMT	WALMART INC	WALMART INC	stocks	US Stocks	stocks	Stocks\US\WMT
WPM	Wheaton Precious Metals Corp	Wheaton Precious Metals Corp	stocks	US Stocks	commodities	Stocks\US\WPM
WU	Western Union Co	Western Union Co	stocks	US Stocks	stocks	Stocks\US\WU
WY	Weyerhaeuser Co	Weyerhaeuser Co	stocks	US Stocks	stocks	Stocks\US\WY
XPEV	XPENG INC - ADR	XPENG INC - ADR	stocks	US Stocks	stocks	Stocks\US\XPEV
YUM	Yum! Brands Inc	Yum! Brands Inc	stocks	US Stocks	stocks	Stocks\US\YUM
YUMC	Yum China Holdings Inc	Yum China Holdings Inc	stocks	US Stocks	stocks	Stocks\US\YUMC
ZIM	Zim Integrated Shipping Services Ltd (ADRs)	Zim Integrated Shipping Services Ltd (ADRs)	stocks	US Stocks	stocks	Stocks\US\ZIM
ZM	ZOOM VIDEO COMMUNICATIONS-A	ZOOM VIDEO COMMUNICATIONS-A	stocks	US Stocks	stocks	Stocks\US\ZM
